title,avg_salary
Analytics Engineer (L4/5) - Pricing and Forecasting,445000.0
Principal Analytics Engineer,300000.0
"Staff Data Engineer, Marketing Technology",261100.0
Senior Director – Enterprise Data Engineering,254900.0
"Machine Learning Engineer, Recommendation - E-Commerce",250000.0
Principal AI/ML Data Scientist,247750.0
TikTok Shop - Data Scientist - User Growth,246522.75
Principal Data Engineer,245000.0
"Machine Learning Engineer, E-Commerce",243750.0
"Machine Learning Engineer, Search - E-Commerce",237500.0
Lead Analytics Engineer,232737.5
"Senior Data Scientist, LLM",232500.0
Applied Machine Learning Engineer (East Coast),230000.0
Data Scientist - AI Investment,225000.0
